matrix_name,rows,cols,nonzeros,num_threads,time_serial,time_serial_hll,time_parallel,time_parallel_simd,time_parallel_hll,time_parallel_hll_simd,stddev_parallel_csr,stddev_parallel_hll,stddev_parallel_simd,stddev_parallel_simd_hll,min_value_csr,min_value_hll,min_value_csr_simd,min_value_hll_simd,error_csr,error_hll,error_csr_simd,error_hll_simd,flops_serial,flops_serial_hll,flops_parallel,flops_parallel_simd,flops_parallel_hll,flops_parallel_hll_simd,speedup_parallel,speedup_simd,speedup_hll,speedup_hll_simd,efficiency_parallel,efficiency_simd,efficiency_hll,efficiency_hll_simd
ML_Laplace.mtx,377002,377002,27689972,8,0.105456117599418,0.155798380042573,0.013039024713400,0.011834261497777,0.021426693046171,0.021157261758651,0.000431596962021,0.002605830561300,0.000070784567823,0.000231429430070,0.012892910744995,0.019656619057059,0.011740902904421,0.021027156617492,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,525146812.348660588264465,355459048.963583052158356,4247245880.520972728729248,4679628214.266174316406250,2584623949.233055114746094,2617538348.380867958068848,8.087730479645566,8.911085632105543,7.271228448872183,7.363825329564295,1.010966309955696,1.113885704013193,0.908903556109023,0.920478166195537
ML_Laplace.mtx,377002,377002,27689972,16,0.105456117599418,0.155798380042573,0.009590820404456,0.008414182223772,0.011888992060956,0.012077900007563,0.002458604676466,0.000945018086171,0.000044364953501,0.000100691973814,0.008237868081778,0.011611246038228,0.008314382750541,0.011814281810075,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,525146812.348660588264465,355459048.963583052158356,5774265564.838513374328613,6581738132.975130081176758,4658085707.859908103942871,4585229548.623600006103516,10.995526258673749,12.533139263550016,13.104422918593729,12.899459338544956,0.687220391167109,0.783321203971876,0.819026432412108,0.806216208659060
ML_Laplace.mtx,377002,377002,27689972,32,0.105456117599418,0.155798380042573,0.009097902545411,0.008728583358032,0.010364804436502,0.010083550959826,0.000231966981208,0.000095478551222,0.000775505101650,0.000068100157051,0.008553958032280,0.010202053003013,0.008582107257098,0.009976702742279,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,525146812.348660588264465,355459048.963583052158356,6087111147.165640830993652,6344665764.008401870727539,5343076595.344972610473633,5492107316.226453781127930,11.591256014564223,12.081699088360818,15.031482841480212,15.450745542249855,0.362226750455132,0.377553096511276,0.469733838796257,0.482835798195308
ML_Laplace.mtx,377002,377002,27689972,40,0.105456117599418,0.155798380042573,0.008086650955834,0.006106034617283,0.008550136183438,0.008408290128175,0.002253517489749,0.000125842713265,0.000109094781077,0.000108496588649,0.006123284343630,0.008383432868868,0.006043134257197,0.008265940938145,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,525146812.348660588264465,355459048.963583052158356,6848316355.245640754699707,9069706850.866794586181641,6477083266.495378494262695,6586350275.239949226379395,13.040765352106604,17.270802445326748,18.221742519653674,18.529139416886032,0.326019133802665,0.431770061133169,0.455543562991342,0.463228485422151
dc1.mtx,116835,116835,766396,2,0.003461833209976,0.139172796115867,0.001752467414266,0.001717285581521,0.102149774585115,0.066360433703583,0.000037050837774,0.018367733111286,0.000029745699232,0.000279971383568,0.001703645102680,0.067346154246479,0.001677392050624,0.065719658974558,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,442768876.207854211330414,11013589.169566471129656,874647932.122509717941284,892566743.990327000617981,15005339.035014865919948,23097980.444893486797810,1.975405181171572,2.015875080549517,1.362438602347605,2.097225535588295,0.987702590585786,1.007937540274758,0.681219301173803,1.048612767794147
dc1.mtx,116835,116835,766396,4,0.003461833209976,0.139172796115867,0.000907624414877,0.000898080902468,0.068119726310435,0.066005174438224,0.000004981326100,0.000268505618211,0.000014651144540,0.000191825579688,0.000897083897144,0.067423423752189,0.000885239802301,0.065682962071151,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,442768876.207854211330414,11013589.169566471129656,1688795469.663419485092163,1706741559.460168361663818,22501440.963147193193436,23222300.570307258516550,3.814169333958850,3.854700840939309,2.043061586619262,2.108513420354989,0.953542333489712,0.963675210234827,0.510765396654815,0.527128355088747
dc1.mtx,116835,116835,766396,8,0.003461833209976,0.139172796115867,0.000633651434787,0.000475932897902,0.101886924601307,0.109301237526693,0.000193364155923,0.014600558000359,0.000017045291381,0.008985870853355,0.000465134158731,0.067624198738486,0.000444600824267,0.067319163121283,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,442768876.207854211330414,11013589.169566471129656,2418982923.182710647583008,3220605271.787928581237793,15044050.117303637787700,14023555.768301997333765,5.463308405731615,7.273784235629160,1.365953449478070,1.273295703370966,0.682913550716452,0.909223029453645,0.170744181184759,0.159161962921371
dc1.mtx,116835,116835,766396,16,0.003461833209976,0.139172796115867,0.000542707903017,0.000587622488016,0.101785577397401,0.099165176972747,0.000009849743416,0.017079953001866,0.000006259743936,0.018488127115514,0.000484694261104,0.069621832109988,0.000575842801481,0.067862096708268,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,442768876.207854211330414,11013589.169566471129656,2824340665.540748596191406,2608463820.328417301177979,15059029.375208245590329,15456958.246756831184030,6.378814811307751,5.891253790620765,1.367313519994047,1.403444236822324,0.398675925706734,0.368203361913798,0.085457094999628,0.087715264801395
dc1.mtx,116835,116835,766396,32,0.003461833209976,0.139172796115867,0.000627767476008,0.000549262516985,0.069588678124312,0.067826973264547,0.000124085580833,0.000388085214632,0.000003917190993,0.000215582898124,0.000430902931839,0.069200129248202,0.000542487949133,0.067461675032973,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,442768876.207854211330414,11013589.169566471129656,2441655642.542650222778320,2790636449.059527397155762,22026456.620743006467819,22598561.106679838150740,5.514515074895272,6.302693344121789,1.999934470191431,2.051879796744715,0.172328596090477,0.196959167003806,0.062497952193482,0.064121243648272
dc1.mtx,116835,116835,766396,40,0.003461833209976,0.139172796115867,0.000691467234375,0.000544900692215,0.069738448533769,0.067783277555320,0.000003580724175,0.000303519480160,0.000003543237383,0.000343677818790,0.000685463193804,0.069281836040318,0.000534872990102,0.067401244770736,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,442768876.207854211330414,11013589.169566471129656,2216723980.256567955017090,2812974954.700467586517334,21979152.565428700298071,22613129.008833274245262,5.006503617060801,6.353145186699934,1.995639407556898,2.053202517424517,0.125162590426520,0.158828629667498,0.049890985188922,0.051330062935613
