matrix_name,rows,cols,nonzeros,num_threads,time_serial,time_serial_hll,time_parallel,time_parallel_simd,time_parallel_hll,time_parallel_hll_simd,stddev_parallel_csr,stddev_parallel_hll,stddev_parallel_simd,stddev_parallel_simd_hll,min_value_csr,min_value_hll,min_value_csr_simd,min_value_hll_simd,error_csr,error_hll,error_csr_simd,error_hll_simd,flops_serial,flops_serial_hll,flops_parallel,flops_parallel_simd,flops_parallel_hll,flops_parallel_hll_simd,speedup_parallel,speedup_simd,speedup_hll,speedup_hll_simd,efficiency_parallel,efficiency_simd,efficiency_hll,efficiency_hll_simd
nlpkkt80.mtx,1062400,1062400,28704672,4,0.033054404274413,0.061226089230101,0.012965932370801,0.011612302721723,0.020551361790613,0.020495213847607,0.000560384382799,0.000161751203382,0.001486696600888,0.001858689791182,0.011238337960094,0.020330246072263,0.010387949179858,0.017638499848545,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1736813754.784231662750244,937661456.446169972419739,4427706574.290472030639648,4943838046.230431556701660,2793456929.273749351501465,2801109782.355454921722412,2.549327216055204,2.846498671842114,2.979174317201038,2.987335954889240,0.637331804013801,0.711624667960529,0.744793579300260,0.746833988722310
nlpkkt80.mtx,1062400,1062400,28704672,8,0.033054404274413,0.061226089230101,0.009940835514939,0.010048202405635,0.012453840908251,0.012495207399326,0.000172717426166,0.000279162143881,0.000031453007007,0.000448342578791,0.009618464857340,0.012262233998626,0.009991007857025,0.012410092167556,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1736813754.784231662750244,937661456.446169972419739,5775102496.538133621215820,5713394464.248336791992188,4609770144.242276191711426,4594509091.789625167846680,3.325113288992571,3.289583841969356,4.916241477722421,4.899965824769284,0.415639161124071,0.411197980246170,0.614530184715303,0.612495728096160
nlpkkt80.mtx,1062400,1062400,28704672,16,0.033054404274413,0.061226089230101,0.010432050318310,0.009627793067576,0.010687647460911,0.010353959591961,0.000775369665065,0.000936801180226,0.000161099840202,0.000440130251895,0.009681118186563,0.010173937305808,0.009507546201348,0.010170683730394,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1736813754.784231662750244,937661456.446169972419739,5503169774.712092399597168,5962876808.532570838928223,5371560412.145873069763184,5544675299.348513603210449,3.168543408614220,3.433227536405222,5.728677845524994,5.913301929209487,0.198033963038389,0.214576721025326,0.358042365345312,0.369581370575593
nlpkkt80.mtx,1062400,1062400,28704672,32,0.033054404274413,0.061226089230101,0.009338146163837,0.007960980066932,0.010542418925386,0.010501048037488,0.001455425481379,0.000119007498602,0.000054742651168,0.000094881281297,0.007900286000222,0.010422486811876,0.007902376819402,0.010371954645962,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1736813754.784231662750244,937661456.446169972419739,6147830949.822201728820801,7211341256.645998954772949,5445557078.154101371765137,5467010892.155863761901855,3.539718022664993,4.152052133846603,5.807594031638353,5.830474159486493,0.110616188208281,0.129751629182706,0.181487313488699,0.182202317483953
nlpkkt80.mtx,1062400,1062400,28704672,40,0.033054404274413,0.061226089230101,0.008128539296357,0.006930536183676,0.010265147911483,0.009018055800545,0.000033250568004,0.000783463493812,0.000043662660627,0.000683074075450,0.008053265977651,0.009718299377710,0.006835453212261,0.008727761916816,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1736813754.784231662750244,937661456.446169972419739,7062688867.817564010620117,8283535714.772445678710938,5592646544.895969390869141,6366044441.256743431091309,4.066462997752443,4.769386292545529,5.964462446918374,6.789278153103023,0.101661574943811,0.119234657313638,0.149111561172959,0.169731953827576
lung2.mtx,109460,109460,492564,2,0.000469353162733,0.001088991751404,0.000236131922391,0.000257987970192,0.000547656887456,0.000577635955262,0.000008388710421,0.000006549115221,0.000001813766983,0.000006062881957,0.000223579816520,0.000536174047738,0.000255574006587,0.000564166810364,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2098905639.123867750167847,904623931.934967041015625,4171939100.928455829620361,3818503627.382914543151855,1798805095.972000598907471,1705447853.490921497344971,1.987673491920256,1.819283133174509,1.988456232994415,1.885256174732204,0.993836745960128,0.909641566587254,0.994228116497208,0.942628087366102
lung2.mtx,109460,109460,492564,4,0.000469353162733,0.001088991751404,0.000118991605153,0.000142361022728,0.000263030086889,0.000279968854432,0.000002859860389,0.000003729540923,0.000111258831688,0.000003752884545,0.000114989001304,0.000256658066064,0.000129259191453,0.000273086596280,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2098905639.123867750167847,904623931.934967041015625,8278970594.031275749206543,6919927808.342917442321777,3745305381.796242713928223,3518705686.025228023529053,3.944422483655392,3.296921824094702,4.140179415533626,3.889688921338626,0.986105620913848,0.824230456023675,1.035044853883407,0.972422230334656
lung2.mtx,109460,109460,492564,8,0.000469353162733,0.001088991751404,0.000067414039452,0.000073303301868,0.000132500144996,0.000141752231866,0.000012429901230,0.000001839102035,0.000002084237620,0.000002200502761,0.000063071027398,0.000126823782921,0.000066952314228,0.000135776121169,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2098905639.123867750167847,904623931.934967041015625,14613098517.913114547729492,13439067202.977828979492188,7434920165.775595664978027,6949647190.955059051513672,6.962246537206391,6.402892513351676,8.218796677059489,7.682360531950493,0.870280817150799,0.800361564168960,1.027349584632436,0.960295066493812
lung2.mtx,109460,109460,492564,16,0.000469353162733,0.001088991751404,0.000067820488230,0.000070041614143,0.000112565969558,0.000120278805690,0.000004034804777,0.000003458779780,0.000004344294876,0.000005359274124,0.000059599988163,0.000109958928078,0.000063057057559,0.000116817187518,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2098905639.123867750167847,904623931.934967041015625,14525522090.854623794555664,14064895734.442693710327148,8751561452.070970535278320,8190370650.469644546508789,6.920521732895966,6.701061482837175,9.674253734755400,9.053895614889003,0.432532608305998,0.418816342677323,0.604640858422212,0.565868475930563
lung2.mtx,109460,109460,492564,32,0.000469353162733,0.001088991751404,0.000041516585962,0.000042884336098,0.000062563285036,0.000066705552959,0.000006386139001,0.000001456806497,0.000006428040574,0.000003058560846,0.000037148594856,0.000060786958784,0.000039160717279,0.000064593274146,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2098905639.123867750167847,904623931.934967041015625,23728540706.771450042724609,22971744222.486194610595703,15746104115.867017745971680,14768305730.163181304931641,11.305196510252026,10.944629331728860,17.406243147013051,16.325353783836075,0.353287390945376,0.342019666616527,0.543945098344158,0.510167305744877
