matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr, time_row_hll,time_warp_hll, time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr, flops_row_hll,flops_warp_hll, flops_warp_shared_hll
mhd4800a.mtx,4800,4800,102252,0.000413646718953,0.000998124161270,0.000011539199968,0.000013445120057,0.000010062720066,0.000018940800255,0.000044848000034,494392897.682655096054077,204888337.478867381811142,17722545806.286602020263672,15210276972.337635040283203,20322934420.484447479248047,10797009484.517969131469727,4559935779.621622085571289
af_1_k101.mtx,503625,503625,16739943,0.062667621523142,0.105635726004839,0.001558174723759,0.000943710086867,0.000560726397671,0.001261281925254,0.004672155501321,534245359.665302932262421,316937150.585459649562836,21486605763.457347869873047,35476876284.263832092285156,59708061077.687248229980469,26544331865.589172363281250,7165832984.483122825622559
bcsstk17.mtx,10974,10974,428650,0.001618053757120,0.003361984649673,0.000030997759786,0.000029982719934,0.000030471680002,0.000045207679868,0.000148264321615,529834065.294568777084351,254998189.858885258436203,27656837329.903083801269531,28593136375.937095642089844,28134320127.590003967285156,18963592082.075481414794922,5782240735.071996688842773
olafu.mtx,16146,16146,1015156,0.003794811498374,0.007162255346775,0.000071909120597,0.000049118079914,0.000045230719916,0.000081852159637,0.000331219198997,535023149.600469768047333,283473836.340418577194214,28234415650.371623992919922,41335329140.207756042480469,44887899281.366935729980469,24804623469.824996948242188,6129813749.164876937866211
ML_Laplace.mtx,377002,377002,27689972,0.104137754738331,0.179530624449253,0.004175421474501,0.001010759680066,0.000898961290950,0.001726915843319,0.007166530638933,531795064.519629478454590,308470736.788719534873962,13263318287.314189910888672,54790416646.190040588378906,61604370018.511680603027344,32068698781.267330169677734,7727580720.738245964050293
dc1.mtx,116835,116835,766396,0.003318971516564,0.092387078553438,0.006597232623026,0.000308503680862,0.008412115108222,0.001263025926892,0.041323959901929,461827404.167244374752045,16590978.132438816130161,232338631.602927416563034,4968472323.295334815979004,182212437.690241694450378,1213587122.294611454010010,37092089.035940937697887
thermomech_TK.mtx,102158,102158,711558,0.004142105011269,0.006328880609944,0.000059147519933,0.000135009280057,0.000042755199975,0.000136792320991,0.000316640000674,343573133.980939567089081,224860617.178317755460739,24060450913.610836029052734,10540875407.989805221557617,33285214449.803974151611328,10403478716.428152084350586,4494428994.981727600097656
thermal1.mtx,82654,82654,574458,0.002936353906989,0.004548449283466,0.000044511999877,0.000130898561620,0.000034594559620,0.000133660800930,0.000298817920266,391272999.233966588973999,252595099.647801309823990,25811376778.900920867919922,8777147630.835365295410156,33210886700.670139312744141,8595758756.561229705810547,3844869808.940320014953613
af23560.mtx,23560,23560,484256,0.001835185918026,0.002906360342167,0.000031664639755,0.000043900159872,0.000021482879820,0.000054362879964,0.000149255680153,527745985.018206477165222,333238788.717356920242310,30586547249.316921234130859,22061696422.831169128417969,45082968769.704742431640625,17815686009.245075225830078,6488945673.667101860046387
cage4.mtx,9,9,49,0.000001644799979,0.000001802239997,0.000005839359992,0.000006008319979,0.000006212480012,0.000006253440006,0.000006641280015,59581712.815594322979450,54376775.665406018495560,16782661.136471115052700,16310715.865185962989926,15774698.641792623326182,15671374.460900587961078,14756191.543812640011311
olm1000.mtx,1000,1000,3996,0.000021167360137,0.000039159679654,0.000005487360004,0.000006302720012,0.000005509759976,0.000006702719966,0.000007421440059,377562433.305714190006256,204087471.361663281917572,1456438067.563854932785034,1268023961.807784318923950,1450516907.204071044921875,1192351767.776709794998169,1076879950.007423400878906
rdist2.mtx,3198,3198,56934,0.000233084160427,0.001102718715556,0.000012293760028,0.000010655360002,0.000012977280021,0.000017888639959,0.000034252800106,488527404.828158676624298,103261147.556192800402641,9262259857.000108718872070,10686452638.100931167602539,8774411881.048635482788086,6365380501.876606941223145,3324341357.463682174682617
nlpkkt80.mtx,1062400,1062400,28704672,0.107900274693966,0.184409270882607,0.002590258563869,0.001598981120624,0.000986686726101,0.002450599037111,0.006297505274415,532059294.221708714962006,311314847.270050406455994,22163557260.575489044189453,35903703464.371559143066406,58183963036.448501586914062,23426657372.592525482177734,9116204194.895706176757812
lung2.mtx,109460,109460,492564,0.002227684482932,0.005101034929976,0.000034071040063,0.000171632639249,0.000038174079891,0.000171848959581,0.000366622078582,442220614.071598231792450,193123162.950907409191132,28913939761.459625244140625,5739747429.809272766113281,25806201558.971088409423828,5732522340.575259208679199,2687039481.667315006256104
amazon0302.mtx,262111,262111,1234877,0.008767358157784,0.012078351285309,0.000082136320270,0.000399740157882,0.000066019199294,0.000398292475729,0.000825699209236,281698768.950978457927704,204477742.173641234636307,30068963302.353958129882812,6178398520.397306442260742,37409632749.540809631347656,6200855277.213132858276367,2991106170.837169647216797
adder_dcop_32.mtx,1813,1813,11246,0.000063548800827,0.000300975362188,0.000069130239426,0.000010069759992,0.000077650559979,0.000016520319987,0.000521630720468,353932721.112924754619598,74730369.411224544048309,325356894.272366642951965,2233618280.684720039367676,289656636.167761206626892,1361474839.352642536163330,43118626.103558897972107
FEM_3D_thermal1.mtx,17880,17880,430740,0.001633132153656,0.002855457263067,0.000026162559989,0.000035526399879,0.000021879679844,0.000048272640051,0.000130424320814,527501707.728476047515869,301695987.939454674720764,32927970365.704711914062500,24249009270.111732482910156,39373519455.493209838867188,17846133940.096405029296875,6605209784.663166046142578
raefsky2.mtx,3242,3242,294276,0.001128140797373,0.001832659847569,0.000032215679894,0.000015745919936,0.000017877759765,0.000025815680165,0.000115651841479,521700838.557169795036316,321146338.629504263401031,18269116217.296245574951172,37378063801.969230651855469,32920903275.494426727294922,22798237204.901561737060547,5088998086.608541488647461
thermal2.mtx,1228045,1228045,8580313,0.050428260341287,0.080868289321661,0.000574170878390,0.001829404165037,0.000433208319009,0.001838984969072,0.004287519399077,340297798.969484567642212,212204637.243432283401489,29887663491.613529205322266,9380445463.046787261962891,39612872715.014335632324219,9331574911.490055084228516,4002460257.951362133026123
mhda416.mtx,416,416,8562,0.000037239040103,0.000085255040613,0.000011741440048,0.000006755199956,0.000009216640010,0.000007157760001,0.000013253759953,459839994.608643710613251,200856159.084179490804672,1458424173.651561260223389,2534936065.631640911102295,1857943890.773125410079956,2392368561.876080513000488,1292010724.565187215805054
