matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr,time_warp_shared_csr, time_row_hll,time_warp_hll,time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr,flops_warp_csr_shared,flops_row_hll,flops_warp_hll,flops_warp_shared_hll
mhd4800a.mtx,4800,4800,102252,0.000445184959681,0.001000526404241,0.000032611519746,0.000016975039907,0.000018086079963,0.000045780480068,0.000018845760314,0.000019895359947,459368618.712192595005035,204396404.865613192319870,6270912904.206922531127930,12047335447.645729064941406,11307259528.901624679565430,4467056695.254606246948242,10851459245.364950180053711,10278979649.003799438476562
af_1_k101.mtx,503625,503625,16739943,0.065402321740985,0.096566413640976,0.003791456317995,0.001064818884479,0.001138744306518,0.004015666884370,0.001079592634924,0.001198172144359,511906689.377046227455139,346703214.271524965763092,8830349921.506444931030273,31441859726.581501007080078,29400705503.749275207519531,8337316556.388434410095215,31011591703.165378570556641,27942467330.445030212402344
bcsstk17.mtx,10974,10974,428650,0.001742417920614,0.003282034862787,0.000077708800309,0.000031798079926,0.000031529920052,0.000105552640089,0.000034326719797,0.000035546879881,492017437.296597480773926,261209900.516452878713608,11032212524.112361907958984,26960747377.985816955566406,27190046742.479946136474609,8122013805.428605079650879,24974713723.730068206787109,24117447238.039264678955078
olafu.mtx,16146,16146,1015156,0.004068249594420,0.006797835160978,0.000149181120651,0.000056695040039,0.000059177920120,0.000188402242056,0.000059340800253,0.000065737599216,499062791.718746364116669,298670378.424983620643616,13609711410.836612701416016,35811104438.886222839355469,34308606924.146568298339844,10776474726.840002059936523,34214435790.124412536621094,30885095047.824893951416016
ML_Laplace.mtx,377002,377002,27689972,0.111265160441399,0.161543482244015,0.008652151292190,0.001047090565553,0.001117451192113,0.008852399047464,0.001077327035600,0.001185077436967,497729422.042829275131226,342817569.800479233264923,6400713779.703535079956055,52889354390.043251037597656,49559161412.051788330078125,6255924942.274738311767578,51404951486.379997253417969,46731076191.732833862304688
dc1.mtx,116835,116835,766396,0.003693190407939,0.028694329597056,0.006565493750386,0.000234863041260,0.000568503366667,0.009063428165391,0.000997671680525,0.001185077436967,415031945.470494985580444,53417940.810063987970352,233461801.697686135768890,6526322710.367910385131836,2696188078.861889839172363,169118348.160247147083282,1536369158.231984853744507,46731076191.732833862304688
thermomech_TK.mtx,102158,102158,711558,0.004264714228921,0.006151146250777,0.000065127039343,0.000197482240037,0.000215856319846,0.000060055360300,0.000230784318846,0.000218018559535,333695512.433004915714264,231357854.614535838365555,21851384837.410057067871094,7206298651.123895645141602,6592885494.448251724243164,23696735693.428863525390625,6166432828.337246894836426,6527499324.064636230468750
thermal1.mtx,82654,82654,574458,0.003057718391065,0.004383819485083,0.000048643840419,0.000188475839968,0.000203174717608,0.000045248959977,0.000189115520334,0.000208465279866,375742907.966093361377716,262081046.883751630783081,23618941064.513538360595703,6095826394.476908683776855,5654817752.557230949401855,25390992424.401325225830078,6075207354.592912673950195,5511306250.804658889770508
af23560.mtx,23560,23560,484256,0.002033037759829,0.002884808001108,0.000046983040047,0.000062334079485,0.000065566079065,0.000054250880094,0.000065723199514,0.000066922239857,476386626.523509979248047,335728408.832704305648804,20614076888.810306549072266,15537439680.002271652221680,14771540616.835145950317383,17852466141.174552917480469,14736227194.744405746459961,14472199407.313249588012695
cage4.mtx,9,9,49,0.000001607039989,0.000001879999995,0.000005741439995,0.000005957760000,0.000006046400013,0.000005841280013,0.000005978240047,0.000006028800040,60981681.038504309952259,52127659.721839018166065,17068888.655178368091583,16449135.246713761240244,16207991.498470013961196,16777144.699078531935811,16392784.370349857956171,16255307.749041669070721
